site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100dad62	memcpy	SAME	免毒符	免毒符	0x6edc58	0x6edc58	0x6edc5a
0x100dad9f	memcpy	SAME	免毒符	免毒符	0x6ede1d	0x6ede1d	0x6ede1f
0x100db11c	tramp1	NEW	野蛮等级		0x768f67	-	0x768f6e
0x100db1d7	memcpy	SAME	野蛮等级	野蛮等级	0x768f67	0x768f67	0x768f6e
0x100db2db	tramp1	NEW	中毒飘血		0x767e10	-	0x767e16
0x100db388	memcpy	SAME	中毒飘血	中毒飘血	0x767e10	0x767e10	0x767e16
0x100db451	memcpy	SAME	删除技能不提示	删除技能不提示	0x6c7797	0x6c7797	0x6c779c
0x100db542	memcpy	SAME	删除技能不提示	删除技能不提示	0x6c7797	0x6c7797	0x6c779c
0x100db61c	memcpy	SAME	升级技能不提示	升级技能不提示	0x73f5ee	0x73f5ee	0x73f5f4
0x100db70f	memcpy	SAME	升级技能不提示	升级技能不提示	0x73f5ee	0x73f5ee	0x73f5f4
0x100db803	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6bb5cd	0x6bb5cd	0x6bb5d3
0x100db83a	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6bb625	0x6bb625	0x6bb62b
0x100db874	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6c94a9	0x6c94a9	0x6c94af
0x100db981	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6bb5cd	0x6bb5cd	0x6bb5d3
0x100db9b8	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6bb625	0x6bb625	0x6bb62b
0x100db9f2	memcpy	SAME	禁止发言不提示	禁止发言不提示	0x6c94a9	0x6c94a9	0x6c94af
